1,2,3,4
1191.274574664264,1014.6742007217046,513.5051281272284,780.3827335029309
1170.0853199123735,996.6261448103944,504.3713892,766.5020305182052
1093.2386145943497,931.1715712343254,471.2462154403988,716.1611240368636
1025.5458211210153,873.5138888049554,442.0668832149871,671.8167819912373
965.1607723976433,822.0806152742107,416.0375925366369,632.2596132346276
942.2375309714458,802.5556273606285,406.15640957848615,617.2430064964497
965.6223142,822.4737358,416.2365425290829,632.5619610213023
982.4301270962382,836.7898763,423.48163808732437,643.5724595860403
1016.2380620184317,865.5859575,438.05472503399307,665.7194349599638
1124.7580715553709,958.0184296155007,484.83284200785613,736.8089583018583
1245.1435508573804,1060.557376208642,536.7256317041849,815.6713393261823
1343.3750250226622,1144.226535824898,579.0688217631063,880.0210265901195
1408.0485660598279,1199.3125545777307,606.9466894546003,922.3875101979152
1419.8178812887143,1209.3371289092008,612.0199142619731,930.0973787581207
1416.8947833887296,1206.8473653497506,610.7598976431485,928.1825094425141
1443.4526662826713,1229.468177689228,622.2078117918114,945.5801050007556
1542.4341458301858,1313.776158218764,664.8742955884574,1010.421107418039
1580.703651231304,1346.372404819459,681.3705657954373,1035.4907780631515
1530.7417542302464,1303.817103980964,659.8342291131592,1002.7616301556127
1464.241277,1247.1749830034748,631.1688510348995,959.1983532255629
1389.1638151533466,1183.227372,598.8063189,910.0164466
1291.201573689379,1099.7875322933978,556.5791830336908,845.8431288714307
1206.6625054766582,1027.780949350355,520.1381760840006,790.4630926121771
1103.0463772850885,939.5253831772171,475.4739027798761,722.5860145037014
